date,platform,title,company,location,link,status
2026-01-28 20:25:21,LinkedIn,ESTÁGIO ADMINISTRATIVO - SÃO PAULO,Renault Group,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-administrativo-s%C3%A3o-paulo-at-renault-group-4366473919?position=1&pageNum=0&refId=ti1Ex5gLqy%2BSvGPgktMHsA%3D%3D&trackingId=zZowUyTAfsm4RhMiGAiHbw%3D%3D,VISITED
2026-01-28 20:25:25,LinkedIn,Estágio em Finanças (Faturamento),Segura,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-em-finan%C3%A7as-faturamento-at-segura-4366513113?position=2&pageNum=0&refId=ti1Ex5gLqy%2BSvGPgktMHsA%3D%3D&trackingId=lqtrqSqoHudMw0Kn1OZQdQ%3D%3D,VISITED
2026-01-28 20:25:29,LinkedIn,Estagiário de auxiliar administrativo,"Profor Arquitetura, Engenharia e Gerenciamento Ltda","São Paulo, SP",https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-auxiliar-administrativo-at-profor-arquitetura-engenharia-e-gerenciamento-ltda-4356491196?position=5&pageNum=0&refId=ti1Ex5gLqy%2BSvGPgktMHsA%3D%3D&trackingId=ak%2F2ZoM%2F0IfBIT8fhZZICw%3D%3D,VISITED
2026-01-28 20:33:14,LinkedIn,ESTÁGIO ADMINISTRATIVO - SÃO PAULO,Renault Group,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-administrativo-s%C3%A3o-paulo-at-renault-group-4366473919?position=1&pageNum=0&refId=viI2P%2Fs%2F7SlI8QBt15dshQ%3D%3D&trackingId=CEE0gHr0C1qwzRObewSv7w%3D%3D,VISITED
2026-01-28 20:33:26,LinkedIn,Estágio em Finanças (Faturamento),Segura,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-em-finan%C3%A7as-faturamento-at-segura-4366513113?position=2&pageNum=0&refId=viI2P%2Fs%2F7SlI8QBt15dshQ%3D%3D&trackingId=1sD3MS8FR1m1yUSiKwXtpw%3D%3D,VISITED
2026-01-28 20:33:42,LinkedIn,Estágio Administrativo Financeiro,Indufix Parafusos,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-administrativo-financeiro-at-indufix-parafusos-4366940227?position=4&pageNum=0&refId=viI2P%2Fs%2F7SlI8QBt15dshQ%3D%3D&trackingId=e1ik11TztqHiKUV5zOgU4A%3D%3D,VISITED
2026-01-28 20:33:54,LinkedIn,Estagiário de auxiliar administrativo,"Profor Arquitetura, Engenharia e Gerenciamento Ltda","São Paulo, SP",https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-auxiliar-administrativo-at-profor-arquitetura-engenharia-e-gerenciamento-ltda-4356491196?position=6&pageNum=0&refId=viI2P%2Fs%2F7SlI8QBt15dshQ%3D%3D&trackingId=p9uW%2Bh9GLN5luj2all68IA%3D%3D,VISITED
2026-01-28 20:34:08,LinkedIn,Estágio em Segurança do Trabalho - Belenzinho/SP,Vigor,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-em-seguran%C3%A7a-do-trabalho-belenzinho-sp-at-vigor-4356640786?position=7&pageNum=0&refId=viI2P%2Fs%2F7SlI8QBt15dshQ%3D%3D&trackingId=qb6kxQxi4oJ8QbQeG9f94A%3D%3D,VISITED
2026-01-28 20:43:53,LinkedIn,ESTÁGIO ADMINISTRATIVO - SÃO PAULO,Renault Group,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-administrativo-s%C3%A3o-paulo-at-renault-group-4366473919?position=1&pageNum=0&refId=l9EAvUni94HYTuJm39geuQ%3D%3D&trackingId=%2BvLlAqKddj43Ti5Xpjm5Ow%3D%3D,REQUIRES_EXTERNAL
2026-01-28 20:44:07,LinkedIn,Estágio em Finanças (Faturamento),Segura,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-em-finan%C3%A7as-faturamento-at-segura-4366513113?position=2&pageNum=0&refId=l9EAvUni94HYTuJm39geuQ%3D%3D&trackingId=Yp0dP5xtTv3Uwrx0rbJQZw%3D%3D,REQUIRES_EXTERNAL
2026-01-28 20:44:18,LinkedIn,Estágio Administrativo Financeiro,Indufix Parafusos,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-administrativo-financeiro-at-indufix-parafusos-4366940227?position=4&pageNum=0&refId=l9EAvUni94HYTuJm39geuQ%3D%3D&trackingId=9dHvrxlVk4d4XJDOq%2BU4mA%3D%3D,REQUIRES_EXTERNAL
2026-01-28 20:44:30,LinkedIn,Estagiário de auxiliar administrativo,"Profor Arquitetura, Engenharia e Gerenciamento Ltda","São Paulo, SP",https://br.linkedin.com/jobs/view/estagi%C3%A1rio-de-auxiliar-administrativo-at-profor-arquitetura-engenharia-e-gerenciamento-ltda-4356491196?position=6&pageNum=0&refId=l9EAvUni94HYTuJm39geuQ%3D%3D&trackingId=PUctYsSk9IRSlrkIMMgFkg%3D%3D,REQUIRES_EXTERNAL
2026-01-28 20:44:36,LinkedIn,Estágio em Segurança do Trabalho - Belenzinho/SP,Vigor,"São Paulo, SP",https://br.linkedin.com/jobs/view/est%C3%A1gio-em-seguran%C3%A7a-do-trabalho-belenzinho-sp-at-vigor-4356640786?position=7&pageNum=0&refId=l9EAvUni94HYTuJm39geuQ%3D%3D&trackingId=z6O%2Bw5GgayziSn268QjOWw%3D%3D,REQUIRES_EXTERNAL
2026-01-29 17:55:37,LinkedIn,"Estágio em Atendimento - 100% Remoto
Estágio em Atendimento - 100% Remoto",Nibo,Brasil (Remoto),https://www.linkedin.com/jobs/view/4366889514/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=siiLBjo%2FkxCbTTfK2fpLvw%3D%3D&trackingId=tWfUyGBh1EUdmThsrabdiQ%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 17:55:45,LinkedIn,"PESSOA AUXILIAR ADMINISTRATIVO
PESSOA AUXILIAR ADMINISTRATIVO with verification",Bradesco Seguros,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4367010575/?eBP=BUDGET_EXHAUSTED_JOB&refId=siiLBjo%2FkxCbTTfK2fpLvw%3D%3D&trackingId=GTbvVa7S%2BjfqSuesZwAd5w%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 17:58:36,LinkedIn,"Estágio em Expansão de Lojas
Estágio em Expansão de Lojas with verification",AutoZone,São Paulo e Região (Híbrido),https://www.linkedin.com/jobs/view/4366895752/?eBP=CwEAAAGcC4y3ovIyU7-AZJky0vEwvNmvvuwt9PCxeN7uVRoq7a134BhVUs0sftEOfVu--yYFSBcTKDZuS_ndXgiUMQvJs2uzDczOPGVOJmDON4zhtqt7fQD3aXOe92wed63ozQC2WmoY8AiHVIwjA3DIJ3xpYZRKyVbITjVFcB3BgkBgK2AQ-Q5406XRW_hT6MXB_bb_1-6tbsfkxWGBObHe68oF6rrn7-hB8ekjFTNpuVwBzVltOKNLFUPHoSn6mxMQPyorfyCAKf1ALhEhhgXMyI5iEUXBt0BfN_h2jLwSFAUTzzh9TUY6jUHKL_hptk5ab8CzBxuQ8B1i-E1vBGpNU8f4mBKbigXfnj50C8wKNKbKDOgjdY5_L9BlVqOmnl7LB4XEbie_F1L7las5tR0tYEqAUYanBlLyejeLNOInBtZQ2Tkz-P8fY5ZNF7c98p6uRz7YaWfvtyRoBHW6qxcw63i2MA0B8QjV13cmlgFi-iTxpNO-XD8_ko_tvbSK_mAHPwRDTvPbEeHVlnOuDOC7HZdSEJCby212T9wsfoQ&refId=jj5XgcCqAmaX%2FZC5RtFkdw%3D%3D&trackingId=A8NKPK4EoayMFHvDxl5X7w%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 17:58:51,LinkedIn,"Estágio em Logística/Compras
Estágio em Logística/Compras with verification",Espro,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356567561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=jj5XgcCqAmaX%2FZC5RtFkdw%3D%3D&trackingId=lvojXi0GKtD86L6yw8dpsw%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 17:59:03,LinkedIn,"Assistente Operacional
Assistente Operacional with verification",Veedha,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4366855525/?eBP=BUDGET_EXHAUSTED_JOB&refId=jj5XgcCqAmaX%2FZC5RtFkdw%3D%3D&trackingId=a0dP%2F4KEvHr%2BMUKqkDpV8Q%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:05:29,LinkedIn,"Estágio em Expansão de Lojas
Estágio em Expansão de Lojas with verification",AutoZone,São Paulo e Região (Híbrido),https://www.linkedin.com/jobs/view/4366895752/?eBP=CwEAAAGcC5J6xxgaxpEhVuf3p5iORlMAnlAm9lbIBWGWFO7SaQoDLwzSplajlsNlOPhognwDlOtNgR9XiCC6SFsIDi4hnzSStqJPu9Y-RT4wOzFQnq22ftP4_XDAZ6XMsZFE0RHmQWQeztm3j13SIFpNnXmbrqnsbeSQEC-IYrtBuxpDXdLaWDXiq_Ws-M0wGvU9ZzUyEcVcURpFq0OMiwWlJx2DNXyzcESCvV_NrG3J01CMQOcge6RyVJzmC1ZpMjZpYHqzei0ycGhVv5zG3OdERO-OiKccAUT_pmP0QznwrKAg4tc0OMSVWcIdfTc_G2Lp36RH0lulRJivYQjIPNMawaJnDoFYAG4gseAmWrezlUNiJOkgbom5W8w6UJiNCJVnbwODLibs_dz8wK0vqcvB4-HHsaZ_iaU6y7fmJbyQC4v6T4FeQrtzl78TvhE83THgkmYb9jg0ZsJTQf2AGltUlhNfhdiW3JfD-QOKdx-PzICNod0Rv2rkWHvelT3bP2c_wCDNZQZm0SkBy6z6VgMw0HwS14xQwyMzhCvY&refId=SN7ZlKQNWOaAPWaCzJShgQ%3D%3D&trackingId=nIEzN46gbAuESZfmIPhnTQ%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:06:08,LinkedIn,"Estágio em Logística/Compras
Estágio em Logística/Compras with verification",Espro,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356567561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=SN7ZlKQNWOaAPWaCzJShgQ%3D%3D&trackingId=1p%2BJJucBLtQPMgEQ0pfgpA%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:07:03,LinkedIn,"Assistente Operacional
Assistente Operacional with verification",Veedha,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4366855525/?eBP=BUDGET_EXHAUSTED_JOB&refId=SN7ZlKQNWOaAPWaCzJShgQ%3D%3D&trackingId=YmvSU1EByMzydkPnVdn5BQ%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:13:08,LinkedIn,"Estágio em Logística/Compras
Estágio em Logística/Compras with verification",Espro,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356567561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=QF8uVBGEeqXwV7KXStdF4g%3D%3D&trackingId=dr2DKAAliktEnl44qLXYaA%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:14:28,LinkedIn,"Assistente Operacional
Assistente Operacional with verification",Veedha,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4366855525/?eBP=BUDGET_EXHAUSTED_JOB&refId=QF8uVBGEeqXwV7KXStdF4g%3D%3D&trackingId=L80gKdTySfWRHIFG%2BrV01Q%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:22:49,LinkedIn,"Assistente de Crédito e Cobrança
Assistente de Crédito e Cobrança",Grupo VMP,"Guarulhos, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356497404/?eBP=CwEAAAGcC55Hgx8bWzZlkIRIyDlEeU8qJF4tCeQ4upido1fZ-6imc-OQoyr3a8lstS7Sqg_w9Ueu6qTDbep62F0oN5Dz8hTzfSAJuevMRq6XNUVoeg70FL7-gvWFokezzy7CJdYQ3TCfwU2vqo_aO-nSWFk8duXQ6zlgaAhWH-TjGVjyDblf3GtZMN5T-LhLaJC7aP9-2_1ZMNGtWE2zcqxfMbRq-9mnn8DgA_Gyfi70vsmPJu6xHw73-LA2Oe1crbhjpMLq1hxlYAjyXYEm16eIOOo0XEoHc6vwk4fLuR15JLbeyGs9Y03_YeIM_zfbI1btuDGsuxT3XhCwLLwNxdbpdtlyVMMgcaR-PuhkLTmaNCdeIpex47EEJWWhmI5ERv45g2o3lSFwF9nRnY-v_KUzvKXIAcKh3aPEC18a6fmFP7X4-WRJVxuwLNT9Z2YkdSQ9lKaR3jBx9YW8t16Nvb-fTVdXczNOR8lxu6ThEix3d47TiOPU28rMsuCj_lHDht0jy2yhv-vpD8QLPua0x88mLcLqYSLkyYDFBOm3nNI7iGnYHaWgMngMqc9Q&refId=urdWlDdTHRETuBMn4NpFFQ%3D%3D&trackingId=KO%2BPF7LQH4SlgRAJcO%2FPhQ%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:24:25,LinkedIn,"ESTÁGIO EM DIREITO SOCIETÁRIO
ESTÁGIO EM DIREITO SOCIETÁRIO",LEITE MARTINHO Advogados,"São Paulo, São Paulo, Brasil (Híbrido)",https://www.linkedin.com/jobs/view/4367157611/?eBP=CwEAAAGcC55Hg26U85viy9_urbdbMmaIXy61R3R_KR-HM875ayu6_ErvAly1kSnubbzKCETXkwp9rvIReK1Gd5k6qCCRTHYkKQHbNAse2cJ-4HuG3Y1cdLsnAhrDvu6ky8CxoRmbtRWO9tA7XI6io4raRkjGIwL8i8T_I-DLuyQlINsJZKuYB_IHa7kXe9FrD5q14Jfl_GCrqX20Q8gCK21otkQEUB-2EQ6A7iZgO8gwP0xyjLQyYIqL_yTKMWWZZCLSxqDVXazQV_-EZ2zigQoTQa46Uy38hiKplOD3tWablKWoq5O5UZJC-HdKPmleLaJrUf1uEYDnZi6vyeguWl9zBMjBNr-pRNyM8IWCAKIn4GcxhhrN8CyHNPPSfaWCyI3IEGY7J02TaStAUVlstTSjXteLAZn5rDCcsabdgDtvGI98iX7f8JZaiLfsyhJJLj9t8aIAFaqjRvP5SVYic1SXik8FHkcGehNtWWclS4qNG02AlWL76i6iIPUqe_YBwOIkv2-gUjurmR20Uad6WoQOGrCyphxCFxSTIdvLJLe2J14RtjQd79D_V_y4&refId=urdWlDdTHRETuBMn4NpFFQ%3D%3D&trackingId=GJFSNPUKjsjNz3GRkkogew%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:26:12,LinkedIn,"Estágio em Logística/Compras
Estágio em Logística/Compras with verification",Espro,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356567561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=urdWlDdTHRETuBMn4NpFFQ%3D%3D&trackingId=2t3u5dBxUFc9F3aqQOa6LA%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:31:40,LinkedIn,"Estágio em Logística/Compras
Estágio em Logística/Compras with verification",Espro,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356567561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Y1f%2FTEogQzBJn2C1y76XhA%3D%3D&trackingId=NgCRW0Q1NTG8u6BCgf8oPw%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:32:57,LinkedIn,"Assistente Operacional
Assistente Operacional with verification",Veedha,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4366855525/?eBP=BUDGET_EXHAUSTED_JOB&refId=Y1f%2FTEogQzBJn2C1y76XhA%3D%3D&trackingId=miJM99aM1d62ASt1FoVw1Q%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:37:57,LinkedIn,"Estágio em Logística/Compras
Estágio em Logística/Compras with verification",Espro,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356567561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=IoaODQ%2BQzzucYvSvNDAAdg%3D%3D&trackingId=ZQH%2BOi9knzcnzkd3RlI2zw%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:39:08,LinkedIn,"Assistente Operacional
Assistente Operacional with verification",Veedha,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4366855525/?eBP=BUDGET_EXHAUSTED_JOB&refId=IoaODQ%2BQzzucYvSvNDAAdg%3D%3D&trackingId=Qxkz%2FsKDfS0AGhCmlNtk2A%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:47:52,LinkedIn,"Assistente de Crédito e Cobrança
Assistente de Crédito e Cobrança",Grupo VMP,"Guarulhos, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356497404/?eBP=CwEAAAGcC7VHA8yoqNBsVqhj_MOaLSPwGG-4UQVD5tiyWwaZLKHkOAfyXLlTEc9_wD3SV2wBJEzOpzKJkLg37bVVf7wI86kn2IL26qQdCUOVMPb6alsIIiLe9_BQoLoYAeWJ51Q_gG8oiK2QhJDchO4bQaK1roygQZWSJwi0Ede_AloO7L1HkeAWUm72qPEyCArPZslqNHbyYW4cgJDE0jORtcBfHd4Lbg3cgopnJ-7fnJ18UFrYs5Elp5nnbV8TdcyUiYe-yBrSIF7pXvNfcSKkPRGh7zlEFKZax8u7gukWLnVcTgtJS9ko0b4ayMJ86U6Otxa0D7tOAojB3hXcCB63_WxwjB1OThIMfFuf9CjMB-UrlueJXcQQBFVkBN9vnfA3Mr7YzqVG-Li1rRdEtKPKpfplDufNLscRxNRaZKbPD7vHt0sfq8MVgiEJIzgwMDLXX--VZt02848pzkRcrphT8D-92Rict3qh0LBnkbAegQwFBcrSW5OSckbR21Bvi0K-kHwiEdG0wh5j_ssO-KdA1AaLhao_y7qein1IJJc8l48KgPDEepC-tQ&refId=DuUbVJr4lxg0p%2F3Ldp7urA%3D%3D&trackingId=9O6nM96fGNfH615GbgiOrg%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:48:27,LinkedIn,"Auxiliar administrativo
Auxiliar administrativo",JR Speed Racing Multimarcas,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356417309/?eBP=CwEAAAGcC7VHA8vaH5G9wRNZYMZ4UlPPEredYZm2faOTNtc0VZGLg1cVt9Ntl8LdfgN10pE77c4OMx75HS4TQSNCSUkrAejzdnSp_Dl1nZKMOIlafVyLkPdruV8bRay5xuTG1jONRKEF8ZzJ8an2hdiVSBCgVHcT_kumU408O6zHY99GWgRBlBBr05oOoJOGDRNc27bHKaP736NdiOs8R8K0iZ4QFx_5NxkNGAMnihDL4qCqWZm6ochMTv9ynQoO_RIR58XP28mF_LlW0NnbEvcIeNBXcIlHZILb1yIRZi7yC-qWPP5yX7_q713zO6UT48NWQYUBrBKihSj-oswPEOqG5_9AYICM3Hhu4Gp1kPIUME0N3FFPZesyKP-agMfcqDhybsrob32vWnuz3O2lmpAbfnt3ebITd374UJDVvJUyQRiDA_-b4lXd0Hyk6zyiscbvdLphgo0TsRpSgv8OkjpDgii7_X4TzJf6jxRpr1Vg5y7ejkPbqWCu-JniWDp3ZzH95GzTziCpoabyZhQAFEvf-iDeyPau44ntJcpeVzrwGskRnWNY7-9b6jM7&refId=DuUbVJr4lxg0p%2F3Ldp7urA%3D%3D&trackingId=91R5yrtL1oxJej4Sko7tLw%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 18:49:50,LinkedIn,"Estágio em Logística/Compras
Estágio em Logística/Compras with verification",Espro,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356567561/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=DuUbVJr4lxg0p%2F3Ldp7urA%3D%3D&trackingId=J02glnq9L2R8OjaOcd3r6w%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
2026-01-29 19:00:06,LinkedIn,"Auxiliar de logística
Auxiliar de logística",Cellar Vinhos,"São Paulo, São Paulo, Brasil (Presencial)",https://www.linkedin.com/jobs/view/4356626488/?eBP=CwEAAAGcC76dCMKvRkbCsW3vKJdCMoP3T-nKssmzztaVK5FQOi4OB3FdLBpWzSiTG_UuSJQ52dC8NKUIWnKgTRelkyUErFnXWI811ohuqGRcqFX7HPCNh65wvTLEUZa4efMjdRFVk8xNSiNl1x8AbJg4KfksoYqR-3-mDlVX0A_msiYY7hmK_hWe-KhlP_dP6KyuKlpJ_t5ipN2mKodiktPvGSk7HmZ-EED5PFSdy2k567GrhHs3yebcLoKtvPqKnagIc6xeZjWA9_bpI9rBfUBY7e6MQlTbV4sCDK5tIR_SXN9HHMdh46klA9SuG8D1M3w1DnUhvMXfXQ1mXjg-IKbqKr5tsrrFYms55eBKSCw7Zy2eZdF6zTlm288Xvy41wkflMGjQuxJrRPqliO4IhdjlUUZDs8f8LQeNPIVTIjJ1A7ElxT1Fb3V9KmFro4ldU5Z1oKOMQ-PXh0KSuc64uFpkpuSrd8vahWPO2-y4B264qbtCfBlpBCFNnALT9J04TMJOOGU8Oe0KElrKwbhwgjfAK4g1ofs-XNK8Nw1QXbT8a5qIkpC8oEU&refId=jjh6MBBf5DFm2cauQq3k3g%3D%3D&trackingId=XjSkAEmGreL%2F1As7YuTrZA%3D%3D&trk=flagship3_search_srp_jobs,REQUIRES_EXTERNAL
